Temperature,Pressure,Humidity,Vaccum,Energy
27.71,1016.85,58.77,66.93,447.06
21.95,1018.02,67.72,57.76,452.27
25.76,1018.49,42.14,63.94,445.78
23.68,1017.93,84.16,68.3,438.65
8.28,1011.55,89.79,40.77,480.15
23.44,1016.46,67.21,62.52,447.19
25.32,1008.47,72.14,48.41,443.04
3.94,1008.06,97.49,39.9,488.81
17.3,1016.26,87.74,57.76,455.75
18.2,1018.83,96.3,49.39,455.86
21.43,1013.94,61.25,46.97,457.68
11.16,1014.95,88.38,40.05,479.11
30.38,1007.44,74.77,74.16,432.84
23.36,1016.18,68.18,62.52,448.37
21.69,1007.56,77.2,47.45,447.06
23.62,1014.1,49.54,49.21,443.53
21.87,1011.13,92.22,61.45,445.21
29.25,1015.53,33.65,66.51,441.7
20.03,1013.05,64.59,66.86,450.93
18.14,1002.95,100.09,49.78,451.44
24.23,1012.32,68.04,56.89,441.29
18.11,1014.48,48.94,44.85,458.85
6.57,1018.24,74.47,43.65,481.46
12.56,1016.93,81.02,43.41,467.19
13.4,1020.5,71.17,41.58,461.54
27.1,1006.28,53.85,52.84,439.08
14.28,1028.79,70.67,42.74,467.22
16.29,1019.49,59.36,44.34,468.8
31.24,1004.66,57.17,71.98,426.93
10.57,1024.36,70.29,37.73,474.65
13.8,1022.93,83.37,44.21,468.97
25.3,1010.18,87.36,71.58,433.97
18.06,1009.52,100.09,50.16,450.53
25.42,1011.98,68.78,59.04,444.51
15.07,1015.29,70.98,40.69,469.03
11.75,1019.36,75.68,71.14,466.56
20.23,1012.15,47.49,52.05,457.57
27.31,1006.24,71.99,59.54,440.13
28.57,1003.57,66.55,69.84,433.24
17.9,1008.64,74.73,43.72,452.55
23.83,1002.04,64.78,71.37,443.29
27.92,1005.47,75.13,74.99,431.76
17.34,1007.81,56.38,44.78,454.97
17.94,1012.42,94.35,63.07,456.7
6.4,1007.75,86.55,39.9,486.03
11.78,1011.37,82.95,39.96,472.79
20.28,1010.12,88.42,57.25,452.03
21.04,1012.26,85.61,54.2,443.41
25.11,1014.49,58.39,67.32,441.93
30.28,1007.51,74.28,70.98,432.64
8.14,1013.15,87.85,36.24,480.25
16.86,1004.47,83.5,39.63,466.68
6.25,1020.19,65.24,40.07,494.39
22.35,1012.46,75.01,54.42,454.72
17.98,1012.28,84.52,56.85,448.71
21.19,1013.43,80.52,42.48,469.76
20.94,1009.64,75.14,44.89,450.71
24.23,1009.8,75.75,58.79,444.01
19.18,1017.46,76.72,58.2,453.2
20.88,1012.39,85.47,57.85,450.87
23.67,1019.67,57.95,63.86,441.73
14.12,1018.41,78.32,39.52,465.09
25.23,1020.59,52.2,64.63,447.28
6.54,1011.54,93.69,39.33,491.16
20.08,1017.99,75.74,62.52,450.98
24.67,1013.75,67.56,63.56,446.3
27.82,1008.37,69.46,79.74,436.48
15.55,1017.41,74.58,42.03,460.84
24.26,1013.43,53.23,69.51,442.56
13.45,1020.19,88.72,41.49,467.3
11.06,1021.47,96.16,40.64,479.13
24.91,1008.72,68.26,52.3,441.15
22.39,1011.78,86.39,59.04,445.52
11.95,1015.62,85.34,40.69,475.4
14.85,1014.91,72.64,40.69,469.3
10.11,1017.17,97.82,41.62,463.57
23.67,1006.71,77.22,68.67,445.32
16.14,1020.36,80.59,44.21,461.03
15.11,1014.99,46.91,43.13,466.74
24.14,1018.47,57.76,59.87,444.04
30.08,1017.6,53.09,67.25,434.01
14.77,1020.5,84.31,44.9,465.23
27.6,1009.63,71.58,69.34,440.6
13.89,1023.66,92.97,44.84,466.74
26.85,1017.43,74.55,75.6,433.48
12.41,1023.36,78.96,40.96,473.59
13.08,1020.75,64.44,41.74,474.81
18.93,1017.58,68.23,44.06,454.75
20.5,1009.6,70.81,49.69,452.94
30.72,1009.94,61.66,69.13,435.83
7.55,1014.53,77.76,39.22,482.19
13.49,1030.46,69.49,44.47,466.66
15.62,1013.03,96.26,40.12,462.59
24.8,1020.69,55.74,64.63,447.82
10.03,1014.55,95.61,41.62,462.73
22.43,1012.06,84.75,63.21,447.98
14.95,1009.15,75.3,39.31,462.72
24.78,1016.82,67.5,58.46,442.42
23.2,1008.64,80.92,48.41,444.69
14.01,1016.73,79.23,39,466.7
19.4,1020.38,81.1,64.63,453.84
30.15,1013.83,32.8,67.32,436.92
6.91,1021.82,84.31,36.08,486.37
29.04,1015.42,46.15,60.07,440.43
26.02,1010.94,53.96,63.07,446.82
5.89,1005.11,59.83,39.48,484.91
26.52,1008.27,75.3,71.64,437.76
28.53,1013.27,42.53,68.08,438.91
16.59,1007.97,70.58,39.54,464.19
22.95,1009.89,91.69,67.79,442.19
23.96,1008.38,63.55,47.43,446.86
17.48,1018.89,61.51,44.2,457.15
6.69,1020.14,69.55,43.65,482.57
10.25,1007.44,98.08,41.26,476.03
28.87,1008.69,79.34,72.58,428.89
12.04,1018.07,81.28,40.23,472.7
22.58,1009.04,78.99,52.3,445.6
15.12,1014.63,80.38,52.05,464.78
25.48,1017.02,51.16,58.95,440.42
27.87,1003.96,72.17,70.79,428.41
23.72,1010.65,75.39,70.47,438.5
25,1007.84,68.91,59.43,438.28
8.42,1022.35,96.38,40.64,476.29
22.46,1011.5,70.54,58.49,448.46
29.92,1008.62,45.8,57.19,438.99
11.68,1017.9,57.95,39.22,471.8
14.04,1012.74,81.89,42.44,471.81
19.86,1016.12,69.32,59.14,449.82
25.99,1013.13,59.14,68.08,442.14
23.42,1009.74,81.54,58.79,441.46
10.6,1011.37,85.81,40.22,477.62
20.97,1011.45,65.41,61.87,446.76
14.14,1012.46,81.15,39.82,472.52
8.56,1021.27,95.87,40.71,471.58
24.86,1001.15,90.24,72.39,440.85
29,1011.33,75.13,77.54,431.37
27.59,1008.64,88.22,71.97,437.33
10.45,1015.68,81.48,40.71,469.22
8.51,1023.51,89.84,40.78,471.11
29.82,1010.98,43.57,66.51,439.17
22.56,1012.11,63.16,62.26,445.33
11.38,1018.62,57.14,39.22,473.71
20.25,1016.28,77.76,57.76,452.66
22.42,1007.12,90.56,59.43,440.99
14.85,1014.48,60.98,38.91,467.42
25.62,1010.02,70.31,58.82,444.14
19.85,1020.57,74.05,56.53,457.17
13.67,1015.92,75.42,54.3,467.87
24.39,1009.78,82.25,70.72,442.04
16.07,1019.52,67.95,44.58,471.36
11.6,1009.81,100.09,39.1,460.7
31.38,1010.35,47.28,70.83,431.33
29.91,998.59,72.41,76.86,432.6
19.67,1014.07,77.67,59.39,447.61
27.18,1016.27,63.7,64.79,443.87
21.39,1009.2,79.77,52.3,446.87
10.45,1020.57,93.84,41.01,465.74
19.46,1014.02,84.95,56.89,447.86
23.55,1020.16,70.16,62.96,447.65
23.35,1011.78,84.24,63.47,437.87
9.26,1016.87,73.32,41.66,483.51
10.3,1018.21,86.17,41.46,479.65
20.94,1016.88,65.43,58.16,455.16
23.13,1002.49,94.59,71.25,431.91
12.77,1014.13,86.8,41.5,470.68
28.29,1009.29,58.18,69.13,429.28
19.13,1018.32,89.66,59.21,450.81
24.44,1011.49,87.39,73.5,437.73
20.32,1015.16,36.35,44.6,460.21
20.54,1001.6,79.62,69.05,442.86
12.16,1021.51,50.52,45,482.99
28.09,1013.27,51.96,65.27,440
9.25,1033.25,74.73,41.82,478.48
21.75,1015.01,78.33,49.82,455.28
23.7,1002.07,85.19,66.56,436.94
16.22,1022.36,83.13,37.87,461.06
24.75,1013.97,53.49,69.45,438.28
10.48,1011.81,88.86,39.58,472.61
29.53,1003.7,60.89,70.79,426.85
12.59,1017.76,61.14,39.72,470.18
23.5,1012.31,68.29,54.42,455.38
29.01,1006.44,57.62,66.56,428.32
9.75,1010.57,83.63,42.49,480.35
19.55,1020.2,78.1,56.53,455.56
21.05,1013.14,66.34,58.33,447.66
24.72,1006.74,79.02,68.67,443.06
21.19,1014.19,68.96,58.86,452.43
10.77,1019.94,71.13,41.54,477.81
28.68,1004.72,87.01,73.77,431.66
29.87,1004.53,74.3,73.91,431.8
22.99,1006.65,77.62,68.67,446.67
24.66,1018,59.56,60.29,445.26
32.63,1013.85,41.66,69.89,425.72
31.38,1008.73,73.27,72.29,430.58
23.87,1018.94,77.16,60.27,439.86
25.6,1013.31,67.02,59.15,441.11
27.62,1011.6,52.8,71.14,434.72
30.1,1014.23,39.04,67.45,434.01
12.19,1019.43,65.47,41.17,475.64
13.11,1020.43,74.32,41.58,460.44
28.29,1005.46,69.22,68.67,436.4
13.45,1018.7,93.88,40.73,461.03
10.98,1019.94,69.83,41.54,479.08
26.48,1009.31,84.11,69.14,435.76
13.07,1015.22,78.65,45.51,460.14
25.56,1017.37,69.31,75.6,442.2
22.68,1008.83,70.3,50.78,447.69
28.86,1006.65,68.23,73.67,431.15
22.7,1014.32,71.76,63.56,445
27.89,1001.32,85.88,73.21,431.59
13.78,1027.94,71.09,44.47,467.22
28.14,1012.16,52.67,51.43,445.33
11.8,1013.21,89.68,45.09,470.57
10.71,1018.72,73.66,39.61,473.77
24.54,1017.42,58.94,60.29,447.67
11.54,1014.78,87.05,40.05,474.29
29.47,1008.07,67,71.32,437.14
29.24,1003.12,43.18,69.05,432.56
14.51,1009.72,80.62,41.79,459.14
22.91,1016.03,59.72,60.07,446.19
27.02,1006.38,72.1,71.77,428.1
13.49,1030.18,69.15,44.47,468.46
30.24,1017.95,55.66,66.75,435.02
23.19,1002.38,61.19,48.6,445.52
17.73,1003.36,74.62,40.55,462.69
18.62,1019.26,73.35,61.27,455.75
12.85,1015.89,68.85,40,463.74
32.33,1011.95,39.89,69.68,439.79
25.09,1016.99,53.16,58.95,443.26
29.45,1009.3,52.97,69.13,432.04
16.91,1013.32,79.87,43.96,465.86
14.09,1009.05,84.09,45.87,465.6
10.73,1009.35,100.15,25.36,469.43
23.2,1003.4,79.77,49.3,440.75
8.21,1015.82,88.99,38.91,481.32
9.3,1022.64,76.14,40.56,479.87
16.97,1005.7,69.13,39.16,458.59
23.69,1009.62,93.03,71.97,438.62
25.13,1012.38,77.92,59.44,445.59
9.86,1015.13,74.89,43.56,481.87
11.33,1013.58,88.7,41.5,475.01
26.95,1008.53,62.94,48.41,436.54
15,1016.28,89.62,40.66,456.63
20.76,1015.63,81.04,62.52,451.69
14.29,1010.93,94.53,39.59,463.04
19.74,1007.68,64.02,67.71,446.1
26.68,1009.94,70.57,59.92,438.67
14.24,1019.7,70.32,41.4,466.88
21.98,1008.42,84.86,48.41,444.6
22.75,1015.4,81.41,59.39,440.26
8.34,1023.28,89.45,40.96,483.92
11.8,1017.18,82.71,41.2,475.19
8.81,1023.06,93.93,44.68,479.24
30.05,1014.95,70.6,73.68,434.92
16.01,1014,87.68,65.46,454.16
21.75,1012.42,87.58,58.79,447.58
13.94,1021.67,74.4,41.26,467.9
29.25,1010.27,67.35,69.13,426.29
22.33,1007.8,63.61,45.87,447.02
16.43,1005.47,76.89,41.79,455.85
11.5,1010.31,78.08,40.22,476.46
23.53,1007.53,69.17,68.94,437.48
21.86,1014.61,53.31,49.21,452.77
6.17,1012.57,93.32,39.33,491.54
30.19,1017.22,42.47,64.79,438.41
11.67,1019.81,82.58,41.93,476.1
15.34,1007.87,94.59,36.99,464.58
11.5,1023.91,86.31,40.78,467.74
25.53,1010,72.57,57.17,442.12
21.27,1014.53,80.76,57.5,453.34
28.37,1010.44,71.93,69.13,425.29
28.39,1011.74,47.54,51.43,449.63
13.78,1025.27,95.72,45.78,462.88
14.6,1015.71,77.03,42.32,464.67
5.1,1027.17,80.49,35.57,489.96
7,1020.27,77.67,38.08,482.38
26.3,1009.45,78.72,77.95,437.95
30.56,1004.74,58.77,71.98,429.2
21.09,1013.03,74.8,46.63,453.34
28.21,1010.58,51.34,70.02,442.47
15.84,1015.14,90.41,49.69,462.6
10.03,1024.57,91.1,40.96,478.79
20.37,1012.34,62.57,52.05,456.11
21.19,1005.81,84.27,50.16,450.33
33.73,1007.21,42.93,69.88,434.83
29.87,1015.1,40.96,73.68,433.43
19.62,1020.76,76.53,62.96,456.02
9.93,1018.08,69.74,40.67,485.23
9.43,1013.03,74.99,37.14,473.57
14.24,1011.17,70.45,39.58,469.94
12.97,1008.69,91.49,49.83,452.07
7.6,1021.82,88.97,41.04,475.32
8.39,1013.39,89.13,36.24,480.69
25.41,1013.12,46.52,48.06,444.01
18.43,1020.41,60.55,56.03,465.17
10.31,1012.87,88.71,39.82,480.61
11.29,1013.39,89.15,41.5,476.04
22.61,1003.51,83.02,49.3,441.76
29.34,1005.19,75.19,71.98,428.24
18.87,1004,87.35,67.71,444.77
13.21,1008.58,85.66,45.87,463.1
11.3,1018.19,91.66,44.6,470.5
29.23,1007.04,63.47,72.99,431
27.76,1004.27,72.25,69.4,430.68
29.26,1006.6,70.58,67.17,436.42
25.72,1016.19,60.1,49.82,452.33
23.43,1010.64,89.29,63.94,440.16
25.6,1010.18,67.43,63.76,435.75
22.3,1008.48,67.58,44.57,449.74
27.91,1010.74,70.8,72.24,430.73
30.35,1009.55,63.62,77.17,432.75
21.78,1007.88,66.68,47.43,446.79
7.19,1018.12,90.76,41.39,486.35
20.88,1015.66,75.34,59.8,453.18
24.19,1015.73,59.77,50.23,458.31
9.98,1019.7,80.79,41.54,480.26
23.47,1011.89,74.1,51.3,448.65
26.35,1012.67,41.34,49.5,458.41
29.89,1006.37,58.78,64.69,435.39
19.29,1010.49,97.78,50.16,450.21
17.48,1018.68,74.85,43.14,459.59
25.21,1017.19,69.84,75.6,445.84
23.3,1018.17,75.36,48.78,441.08
15.42,1009.89,85.8,37.85,467.33
21.44,1016.56,90.11,63.09,444.19
29.45,1007.96,61.63,68.27,432.96
29.69,1002.85,44.76,47.93,438.09
15.52,1006.86,89.7,36.99,467.9
11.47,1012.68,72.51,43.67,475.72
9.77,1027.72,74.98,34.69,477.51
22.6,1006.37,79.59,69.84,435.13
8.24,1017.99,78.42,39.61,477.9
17.01,1019.18,61.23,44.2,457.26
19.64,1015.88,47.56,44.6,467.53
10.61,1021.08,93.06,41.58,465.15
12.04,1014.42,89.65,40.1,474.28
29.19,1013.85,50.5,65.71,444.49
21.75,1014.15,44.84,45.09,452.84
23.66,1008.5,85.32,77.54,435.38
27.05,1003.88,82.94,75.33,433.57
29.63,1009.04,67.26,69.71,435.27
18.2,1005.35,79.05,39.63,468.49
32.22,1009.9,62.03,70.8,433.07
26.88,1004.85,94.36,73.56,430.63
29.05,1013.29,60.02,65.74,440.74
8.9,1026.31,95.46,39.96,474.49
18.93,1005.72,84.92,48.6,449.74
27.49,1010.09,62.8,63.76,436.73
23.1,1006.53,90.81,70.79,434.58
11.22,1017.24,80.9,43.13,473.93
31.97,1007.03,55.84,79.74,435.99
13.32,1009.45,75.3,43.22,466.83
31.68,1005.29,37.34,68.24,427.22
23.69,1013.39,79.5,63.77,444.07
13.83,1020.11,87.29,41.49,469.57
18.32,1015.18,81.5,66.51,459.89
11.05,1024.91,76.42,40.71,479.59
22.03,1007.21,75.75,64.69,440.92
10.23,1020.45,84.95,41.46,480.87
23.92,1009.93,62.37,66.54,441.9
29.38,1011.35,49.25,69.68,430.2
17.35,1014.62,74.16,42.86,465.16
9.81,1021.19,90.55,44.45,471.32
4.97,1020.91,94.28,40.64,485.43
5.15,1012.27,63.31,40.07,495.35
21.54,1010.85,78.9,58.49,449.12
7.94,1006.22,90.97,42.02,480.53
18.77,1014.89,87.34,50.66,457.07
21.69,1010.7,80.8,69.94,443.67
10.07,1023.44,90.95,44.68,477.52
13.83,1012.52,69.97,39.64,472.95
10.45,1003.92,89.45,39.69,472.54
11.56,1015.85,76.08,40.71,469.17
23.64,1011.09,83.35,70.04,435.21
10.48,1004.81,92.16,40.22,477.78
13.09,1012.86,58.42,39.85,475.89
10.67,1017.75,85.06,40.23,483.9
12.57,1016.53,88.91,39.16,476.2
14.45,1015.47,83.33,43.34,462.16
14.22,1011.24,88.49,37.85,471.05
6.97,1010.6,96.88,41.26,484.71
20.61,1015.43,73.86,63.86,446.34
14.67,1007.21,65.17,42.28,469.02
29.06,1004.23,69.41,72.86,432.12
14.38,1015.51,81.23,40.1,467.28
32.51,1013.29,54.07,69.98,429.66
11.79,1013.16,89.17,45.09,469.49
8.65,1023.23,78.85,40.56,485.87
9.75,1026,84.44,40.81,481.95
9.11,1031.1,83.02,40.02,479.03
23.39,1010.99,90.66,69.13,434.5
14.3,1015.16,75.29,54.3,464.9
17.49,1020.02,82.6,63.94,452.71
31.1,1010.84,45.4,69.51,429.74
19.77,1020.67,66.33,56.65,457.09
28.61,1011.61,45.33,72.29,446.77
13.52,1014.46,67.12,41.48,460.76
13.52,1008.31,84.14,40.83,471.95
17.57,1014.09,80.81,46.21,453.29
28.18,1016.34,49.13,60.07,441.61
14.29,1017.01,87.29,46.18,464.73
18.12,1016.91,52.95,43.69,464.68
31.27,1003.72,68.92,73.91,430.59
26.24,1014.19,85.21,77.95,438.01
7.44,1021.84,88.56,41.04,479.08
29.78,1009.28,55.09,74.78,436.39
23.37,1016.25,48.64,65.46,447.07
10.62,1011.9,87.85,39.58,479.91
5.84,1013.88,87.42,43.02,489.05
14.51,1016.46,62.75,53.82,463.17
11.31,1001.18,94.86,42.02,471.26
11.25,1011.64,63.54,40.67,480.49
9.18,1025.41,69.46,39.42,473.78
19.82,1016.76,74.66,58.16,455.5
24.77,1013.78,80.57,58.41,446.27
9.66,1021.21,84.7,41.06,482.2
21.96,1016.72,72.6,59.8,452.48
18.59,1011.92,52.63,43.14,464.48
24.75,1015.29,82.01,69.89,438.1
24.37,1012.77,75.22,63.47,445.6
29.6,1010.37,51.05,67.79,442.43
25.32,1011.56,80.1,61.25,436.67
16.15,1016.54,81.58,41.85,466.56
15.74,1019.65,65.94,71.14,457.29
5.97,1029.65,86.74,36.25,487.03
15.84,1026.45,62.57,52.72,464.93
14.84,1019.28,57.37,44.63,466
12.25,1017.44,88.91,48.79,469.52
27.38,1011.18,72.26,70.04,428.88
8.76,1018.49,74.98,41.48,474.3
15.54,1009.69,71.19,39.31,461.06
18.71,1014.09,62.82,39.39,465.57
13.06,1012.3,55.31,41.78,467.67
12.72,1016.02,71.57,40.71,466.99
19.83,1013.73,59.16,39.39,463.72
27.23,1004.03,40.8,49.16,443.78
24.27,1005.43,67.63,68.28,445.23
11.8,1017.13,97.2,40.66,464.43
6.76,1028.31,91.16,36.25,484.36
25.99,1012.5,64.81,63.07,442.16
16.3,1004.64,85.61,39.63,464.11
16.5,1018.35,93.42,49.39,462.48
10.59,1009.59,77.36,42.49,477.49
26.05,1012.78,67.03,65.59,437.04
19.5,1003.8,89.45,40.79,457.09
22.21,1012.22,54.84,45.01,450.6
17.86,1023.25,53.48,45,465.78
29.96,1010.15,54.47,70.04,427.1
19.08,1020.14,43.36,44.63,459.81
23.59,1006.64,48.92,47.43,447.36
3.38,1011,81.22,39.64,488.92
26.39,1012.96,60.35,66.49,433.36
8.99,1021.99,75.98,39.04,483.35
10.91,1026.57,74.24,41.04,469.53
13.08,1012.27,85.21,39.82,476.96
23.95,1017.5,68.46,58.46,440.75
15.64,1024.51,78.31,43.71,462.55
18.78,1012.05,89.25,54.2,448.04
20.65,1016.22,68.57,50.59,455.24
4.96,1011.8,67.38,40.07,494.75
23.51,1012.55,53.6,57.32,444.58
5.99,1011.56,91.69,35.79,484.82
23.65,1019.6,78.21,66.05,442.9
5.17,1009.68,94.19,39.33,485.46
26.38,1012.82,37.19,49.5,457.81
6.02,1013.85,83.53,43.65,481.92
23.2,1009.63,79.45,61.02,443.23
8.57,1000.91,99.9,39.69,474.29
30.72,1009.98,50.39,71.58,430.46
21.52,1013.56,74.33,50.66,455.71
22.93,1011.25,83.66,62.26,438.34
5.71,1003.24,89.48,41.31,485.83
18.62,1017.76,64.59,44.06,452.82
27.88,1007.68,75.68,68.94,435.04
22.32,1016.82,64.18,59.8,451.21
14.55,1028.41,70.09,42.74,465.81
17.83,1025.04,70.58,44.92,458.42
9.68,1026.09,99.28,39.96,470.22
19.41,1020.84,81.89,49.39,449.24
13.22,1023.84,87.99,44.92,471.43
12.24,1023.74,88.21,44.92,473.26
19.21,1011.7,91.29,58.49,452.82
29.74,1008.1,52.72,70.32,432.69
23.28,1017.91,67.5,60.84,444.13
8.02,1029.8,92.05,41.92,467.21
22.47,1002.33,63.23,48.6,445.98
27.51,1002.42,90.88,73.77,436.91
17.51,1009.05,74.91,44.9,455.01
23.22,1002.47,85.39,66.56,437.11
11.73,1020.68,96.98,40.64,477.06
21.19,1006.65,56.28,67.71,441.71
5.48,1019.63,65.62,40.07,495.76
24.26,1011.33,55.32,66.44,445.63
12.32,1012.88,88.88,41.62,464.72
31.26,1005.94,39.49,68.94,438.03
32.09,1003.47,54.59,72.86,434.78
24.98,1015.63,57.19,60.32,444.67
27.48,1012.2,45.06,61.41,452.24
21.04,1014.19,40.62,45.09,450.92
27.75,1006.65,90.21,70.4,436.53
22.79,1005.75,90.91,71.77,435.53
24.22,1013.23,74.96,68.51,440.01
27.06,1008.72,54.21,64.45,443.1
29.25,1007.18,63.62,71.94,427.49
26.86,1012.99,50.04,68.08,436.25
29.64,1009.99,51.23,67.79,440.74
19.92,1015.02,82.71,63.31,443.54
18.5,1010.82,92.04,51.43,459.42
23.71,1009.76,90.67,60.23,439.66
14.39,1023.55,91.14,44.84,464.15
19.3,1020.55,70.43,56.65,459.1
24.65,1014.76,66.63,52.36,455.68
13.5,1015.33,86.95,45.51,469.08
9.82,1007.71,96.69,41.26,478.02
18.4,1017.36,70.88,44.06,456.8
28.12,1009.18,47.14,44.89,441.13
17.15,1017.05,63.36,43.69,463.88
30.69,1006.14,60.58,73.67,430.45
28.82,1014.24,54.3,65.71,449.18
21.3,1010.92,65.09,48.92,447.89
